symbol,name,date,time,close,change,change_percent,open,high,low,settlement,prev_settlement,bid1,ask1,volume,open_interest,exchange,intercept_time
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
焦煤2605,焦煤,2026-03-19,230000,1160.5,-6.5,-0.5569837189374465,1156.0,1169.0,1146.0,0.0,1167.0,1161.0,1161.0,331514,391657.0,连,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA连续,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
兴化股份,103600,5.250,5.280,5.28,-12467821.72,-99.99995765100046,4.8,5.28,5.28,5.23,12467827.0,77862281.0,0.0,300,5.27,5.260,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
GC001,30100000,1.250,1.495,1.31,-18345018.69,-99.99999285909746,1.36,1.3,1.5,1.2,18345020.0,19786825470.0,1.315,3000000,1.27,1.255,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2609,PTA,2026-03-19,225958,6572.0,-140.0,-2.0858164481525625,6606.0,6652.0,6492.0,0.0,6712.0,6578.0,6578.0,101318,366382.0,郑,2026-03-19 23:34:41
兴化股份,103600,5.250,5.280,5.28,-12467821.72,-99.99995765100046,4.8,5.28,5.28,5.23,12467827.0,77862281.0,0.0,300,5.27,5.260,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2609,PTA,2026-03-19,225958,6572.0,-140.0,-2.0858164481525625,6606.0,6652.0,6492.0,0.0,6712.0,6578.0,6578.0,101318,366382.0,郑,2026-03-19 23:34:41
兴化股份,103600,5.250,5.280,5.28,-12467821.72,-99.99995765100046,4.8,5.28,5.28,5.23,12467827.0,77862281.0,0.0,300,5.27,5.260,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2609,PTA,2026-03-19,225958,6572.0,-140.0,-2.0858164481525625,6606.0,6652.0,6492.0,0.0,6712.0,6578.0,6578.0,101318,366382.0,郑,2026-03-19 23:34:41
兴化股份,103600,5.250,5.280,5.28,-12467821.72,-99.99995765100046,4.8,5.28,5.28,5.23,12467827.0,77862281.0,0.0,300,5.27,5.260,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2609,PTA,2026-03-19,225958,6572.0,-140.0,-2.0858164481525625,6606.0,6652.0,6492.0,0.0,6712.0,6578.0,6578.0,101318,366382.0,郑,2026-03-19 23:34:41
兴化股份,103600,5.250,5.280,5.28,-12467821.72,-99.99995765100046,4.8,5.28,5.28,5.23,12467827.0,77862281.0,0.0,300,5.27,5.260,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2609,PTA,2026-03-19,225958,6572.0,-140.0,-2.0858164481525625,6606.0,6652.0,6492.0,0.0,6712.0,6578.0,6578.0,101318,366382.0,郑,2026-03-19 23:34:41
兴化股份,103600,5.250,5.280,5.28,-12467821.72,-99.99995765100046,4.8,5.28,5.28,5.23,12467827.0,77862281.0,0.0,300,5.27,5.260,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2609,PTA,2026-03-19,225958,6572.0,-140.0,-2.0858164481525625,6606.0,6652.0,6492.0,0.0,6712.0,6578.0,6578.0,101318,366382.0,郑,2026-03-19 23:34:41
兴化股份,103600,5.250,5.280,5.28,-12467821.72,-99.99995765100046,4.8,5.28,5.28,5.23,12467827.0,77862281.0,0.0,300,5.27,5.260,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2609,PTA,2026-03-19,225958,6572.0,-140.0,-2.0858164481525625,6606.0,6652.0,6492.0,0.0,6712.0,6578.0,6578.0,101318,366382.0,郑,2026-03-19 23:34:41
兴化股份,103600,5.250,5.280,5.28,-12467821.72,-99.99995765100046,4.8,5.28,5.28,5.23,12467827.0,77862281.0,0.0,300,5.27,5.260,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
兴化股份,103600,5.250,5.280,5.28,-12467821.72,-99.99995765100046,4.8,5.28,5.28,5.23,12467827.0,77862281.0,0.0,300,5.27,5.260,2026-03-19 23:34:41
PTA2609,PTA,2026-03-19,225958,6572.0,-140.0,-2.0858164481525625,6606.0,6652.0,6492.0,0.0,6712.0,6578.0,6578.0,101318,366382.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
PTA2605,PTA,2026-03-19,225959,6730.0,-236.0,-3.3878840080390464,6790.0,6858.0,6652.0,0.0,6966.0,6730.0,6734.0,693625,1096132.0,郑,2026-03-19 23:34:41
