期货代码,名称,合约,最新价,昨收,今开,最高,最低,买一,卖一,成交量,持仓量,时间,序号
T2606,108.385,108.435,108.355,108.400,81297,8812344.760,297454.000,108.400,0.000,110.520,106.190,2026-03-31 17:44:48,1
TL2606,111.520,111.700,111.430,111.690,76432,8527494.010,131916.000,111.690,0.000,115.420,107.620,2026-03-31 17:44:48,1
TS2606,102.544,102.546,102.516,102.538,36912,3784742.090,76741.000,102.538,0.000,103.050,102.026,2026-03-31 17:44:48,1
TF2606,106.080,106.130,106.065,106.105,60022,6368074.075,178428.000,106.105,0.000,107.340,104.800,2026-03-31 17:44:48,1
JM2605,焦煤2605,150448,1209.500,1211.000,1148.000,1148.500,1148.000,1148.500,1148.500,1175.500,1218.000,2026-03-31 17:44:48,1
BR2605,丁二烯橡胶2605,150000,17695.000,17945.000,17080.000,17350.000,17350.000,17360.000,17350.000,17545.000,17800.000,2026-03-31 17:44:48,1
EG2605,乙二醇2605,150448,5326.000,5521.000,5138.000,5218.000,5216.000,5218.000,5218.000,5337.000,5413.000,2026-03-31 17:44:48,1
V2605,PVC2605,150449,5540.000,5540.000,5313.000,5353.000,5351.000,5353.000,5353.000,5433.000,5658.000,2026-03-31 17:44:48,1
BU2606,沥青2606,150000,4499.000,4630.000,4440.000,4512.000,4511.000,4512.000,4512.000,4536.000,4582.000,2026-03-31 17:44:48,1
AL2605,铝2605,150000,24585.000,24905.000,24580.000,24875.000,24860.000,24865.000,24875.000,24765.000,24525.000,2026-03-31 17:44:48,1
EB2605,苯乙烯2605,150448,10652.000,10920.000,10412.000,10597.000,10596.000,10600.000,10597.000,10641.000,10832.000,2026-03-31 17:44:48,1
PP2605,聚丙烯2605,150449,9269.000,9393.000,9019.000,9103.000,9101.000,9104.000,9103.000,9184.000,9494.000,2026-03-31 17:44:48,1
NI2605,镍2605,150000,137080.000,137120.000,134030.000,134780.000,134760.000,134790.000,134780.000,135630.000,135910.000,2026-03-31 17:44:48,1
L2605,塑料2605,150448,8804.000,8916.000,8511.000,8614.000,8614.000,8615.000,8614.000,8693.000,9018.000,2026-03-31 17:44:48,1
P2609,棕榈油2609,150449,9910.000,10062.000,9806.000,9888.000,9882.000,9888.000,9888.000,9922.000,9778.000,2026-03-31 17:44:48,1
FU2605,燃料油2605,150000,4577.000,4637.000,4380.000,4446.000,4447.000,4448.000,4446.000,4504.000,4621.000,2026-03-31 17:44:48,1
Y2605,豆油2605,150449,8712.000,8782.000,8644.000,8668.000,8668.000,8670.000,8668.000,8704.000,8678.000,2026-03-31 17:44:48,1
AO2605,氧化铝2605,150000,2931.000,2941.000,2825.000,2827.000,2827.000,2828.000,2827.000,2874.000,2929.000,2026-03-31 17:44:48,1
M2605,豆粕2605,150449,2934.000,2941.000,2904.000,2915.000,2915.000,2916.000,2915.000,2919.000,2937.000,2026-03-31 17:44:48,1
PG2605,液化石油气2605,150449,6600.000,6640.000,6135.000,6339.000,6337.000,6348.000,6339.000,6396.000,6715.000,2026-03-31 17:44:48,1
RB2605,螺纹钢2605,150000,3145.000,3145.000,3116.000,3121.000,3121.000,3122.000,3121.000,3130.000,3136.000,2026-03-31 17:44:48,1
RU2609,天然橡胶2609,150000,16600.000,16635.000,16340.000,16400.000,16395.000,16405.000,16400.000,16485.000,16515.000,2026-03-31 17:44:48,1
I2605,铁矿石2605,150448,814.000,817.000,806.500,808.000,808.000,808.500,808.000,811.000,814.500,2026-03-31 17:44:48,1
ZN2605,沪锌2605,150000,23625.000,23660.000,23460.000,23480.000,23480.000,23485.000,23480.000,23565.000,23420.000,2026-03-31 17:44:48,1
C2605,玉米2605,150448,2346.000,2355.000,2344.000,2351.000,2351.000,2352.000,2351.000,2349.000,2357.000,2026-03-31 17:44:48,1
SP2605,纸浆2605,150000,5180.000,5180.000,5120.000,5124.000,5122.000,5124.000,5124.000,5148.000,5196.000,2026-03-31 17:44:48,1
A2605,豆一2605,150448,4576.000,4649.000,4575.000,4641.000,4641.000,4642.000,4641.000,4612.000,4567.000,2026-03-31 17:44:48,1
SS2605,不锈钢2605,150000,14375.000,14375.000,14110.000,14160.000,14165.000,14170.000,14160.000,14225.000,14345.000,2026-03-31 17:44:48,1
HC2610,热轧卷板2610,150000,3323.000,3328.000,3305.000,3310.000,3309.000,3310.000,3310.000,3317.000,3319.000,2026-03-31 17:44:48,1
SI2605,工业硅2605,150119,8480.000,8485.000,8335.000,8355.000,8350.000,8355.000,8355.000,8390.000,8500.000,2026-03-31 17:44:48,1
LU2605,低硫燃料油2605,150000,5241.000,5311.000,4984.000,5159.000,5159.000,5160.000,5159.000,5146.000,5380.000,2026-03-31 17:44:48,1
NR2606,20号胶2606,150000,13850.000,13945.000,13670.000,13670.000,13670.000,13675.000,13670.000,13820.000,13835.000,2026-03-31 17:44:48,1
B2605,豆二2605,150325,3741.000,3752.000,3704.000,3718.000,3717.000,3719.000,3718.000,3729.000,3736.000,2026-03-31 17:44:48,1
PB2605,铅2605,150000,16510.000,16530.000,16475.000,16500.000,16495.000,16500.000,16500.000,16500.000,16470.000,2026-03-31 17:44:48,1
CS2605,淀粉2605,150325,2742.000,2752.000,2732.000,2745.000,2745.000,2746.000,2745.000,2741.000,2744.000,2026-03-31 17:44:48,1
JD2606,鸡蛋2606,150448,3225.000,3251.000,3212.000,3224.000,3223.000,3224.000,3224.000,3231.000,3210.000,2026-03-31 17:44:48,1
T2606,108.385,108.435,108.355,108.400,81297,8812344.760,297454.000,108.400,0.000,110.520,106.190,2026-03-31 17:44:48,2
TL2606,111.520,111.700,111.430,111.690,76432,8527494.010,131916.000,111.690,0.000,115.420,107.620,2026-03-31 17:44:48,2
TS2606,102.544,102.546,102.516,102.538,36912,3784742.090,76741.000,102.538,0.000,103.050,102.026,2026-03-31 17:44:48,2
TF2606,106.080,106.130,106.065,106.105,60022,6368074.075,178428.000,106.105,0.000,107.340,104.800,2026-03-31 17:44:48,2
JM2605,焦煤2605,150448,1209.500,1211.000,1148.000,1148.500,1148.000,1148.500,1148.500,1175.500,1218.000,2026-03-31 17:44:48,2
BR2605,丁二烯橡胶2605,150000,17695.000,17945.000,17080.000,17350.000,17350.000,17360.000,17350.000,17545.000,17800.000,2026-03-31 17:44:48,2
EG2605,乙二醇2605,150448,5326.000,5521.000,5138.000,5218.000,5216.000,5218.000,5218.000,5337.000,5413.000,2026-03-31 17:44:48,2
V2605,PVC2605,150449,5540.000,5540.000,5313.000,5353.000,5351.000,5353.000,5353.000,5433.000,5658.000,2026-03-31 17:44:48,2
BU2606,沥青2606,150000,4499.000,4630.000,4440.000,4512.000,4511.000,4512.000,4512.000,4536.000,4582.000,2026-03-31 17:44:48,2
AL2605,铝2605,150000,24585.000,24905.000,24580.000,24875.000,24860.000,24865.000,24875.000,24765.000,24525.000,2026-03-31 17:44:48,2
EB2605,苯乙烯2605,150448,10652.000,10920.000,10412.000,10597.000,10596.000,10600.000,10597.000,10641.000,10832.000,2026-03-31 17:44:48,2
PP2605,聚丙烯2605,150449,9269.000,9393.000,9019.000,9103.000,9101.000,9104.000,9103.000,9184.000,9494.000,2026-03-31 17:44:48,2
NI2605,镍2605,150000,137080.000,137120.000,134030.000,134780.000,134760.000,134790.000,134780.000,135630.000,135910.000,2026-03-31 17:44:48,2
L2605,塑料2605,150448,8804.000,8916.000,8511.000,8614.000,8614.000,8615.000,8614.000,8693.000,9018.000,2026-03-31 17:44:48,2
P2609,棕榈油2609,150449,9910.000,10062.000,9806.000,9888.000,9882.000,9888.000,9888.000,9922.000,9778.000,2026-03-31 17:44:48,2
FU2605,燃料油2605,150000,4577.000,4637.000,4380.000,4446.000,4447.000,4448.000,4446.000,4504.000,4621.000,2026-03-31 17:44:48,2
Y2605,豆油2605,150449,8712.000,8782.000,8644.000,8668.000,8668.000,8670.000,8668.000,8704.000,8678.000,2026-03-31 17:44:48,2
AO2605,氧化铝2605,150000,2931.000,2941.000,2825.000,2827.000,2827.000,2828.000,2827.000,2874.000,2929.000,2026-03-31 17:44:48,2
M2605,豆粕2605,150449,2934.000,2941.000,2904.000,2915.000,2915.000,2916.000,2915.000,2919.000,2937.000,2026-03-31 17:44:48,2
PG2605,液化石油气2605,150449,6600.000,6640.000,6135.000,6339.000,6337.000,6348.000,6339.000,6396.000,6715.000,2026-03-31 17:44:48,2
RB2605,螺纹钢2605,150000,3145.000,3145.000,3116.000,3121.000,3121.000,3122.000,3121.000,3130.000,3136.000,2026-03-31 17:44:48,2
RU2609,天然橡胶2609,150000,16600.000,16635.000,16340.000,16400.000,16395.000,16405.000,16400.000,16485.000,16515.000,2026-03-31 17:44:48,2
I2605,铁矿石2605,150448,814.000,817.000,806.500,808.000,808.000,808.500,808.000,811.000,814.500,2026-03-31 17:44:48,2
ZN2605,沪锌2605,150000,23625.000,23660.000,23460.000,23480.000,23480.000,23485.000,23480.000,23565.000,23420.000,2026-03-31 17:44:48,2
C2605,玉米2605,150448,2346.000,2355.000,2344.000,2351.000,2351.000,2352.000,2351.000,2349.000,2357.000,2026-03-31 17:44:48,2
SP2605,纸浆2605,150000,5180.000,5180.000,5120.000,5124.000,5122.000,5124.000,5124.000,5148.000,5196.000,2026-03-31 17:44:48,2
A2605,豆一2605,150448,4576.000,4649.000,4575.000,4641.000,4641.000,4642.000,4641.000,4612.000,4567.000,2026-03-31 17:44:48,2
SS2605,不锈钢2605,150000,14375.000,14375.000,14110.000,14160.000,14165.000,14170.000,14160.000,14225.000,14345.000,2026-03-31 17:44:48,2
HC2610,热轧卷板2610,150000,3323.000,3328.000,3305.000,3310.000,3309.000,3310.000,3310.000,3317.000,3319.000,2026-03-31 17:44:48,2
SI2605,工业硅2605,150119,8480.000,8485.000,8335.000,8355.000,8350.000,8355.000,8355.000,8390.000,8500.000,2026-03-31 17:44:48,2
LU2605,低硫燃料油2605,150000,5241.000,5311.000,4984.000,5159.000,5159.000,5160.000,5159.000,5146.000,5380.000,2026-03-31 17:44:48,2
NR2606,20号胶2606,150000,13850.000,13945.000,13670.000,13670.000,13670.000,13675.000,13670.000,13820.000,13835.000,2026-03-31 17:44:48,2
B2605,豆二2605,150325,3741.000,3752.000,3704.000,3718.000,3717.000,3719.000,3718.000,3729.000,3736.000,2026-03-31 17:44:48,2
PB2605,铅2605,150000,16510.000,16530.000,16475.000,16500.000,16495.000,16500.000,16500.000,16500.000,16470.000,2026-03-31 17:44:48,2
CS2605,淀粉2605,150325,2742.000,2752.000,2732.000,2745.000,2745.000,2746.000,2745.000,2741.000,2744.000,2026-03-31 17:44:48,2
JD2606,鸡蛋2606,150448,3225.000,3251.000,3212.000,3224.000,3223.000,3224.000,3224.000,3231.000,3210.000,2026-03-31 17:44:48,2
T2606,108.385,108.435,108.355,108.400,81297,8812344.760,297454.000,108.400,0.000,110.520,106.190,2026-03-31 17:44:48,3
TL2606,111.520,111.700,111.430,111.690,76432,8527494.010,131916.000,111.690,0.000,115.420,107.620,2026-03-31 17:44:48,3
TS2606,102.544,102.546,102.516,102.538,36912,3784742.090,76741.000,102.538,0.000,103.050,102.026,2026-03-31 17:44:48,3
TF2606,106.080,106.130,106.065,106.105,60022,6368074.075,178428.000,106.105,0.000,107.340,104.800,2026-03-31 17:44:48,3
JM2605,焦煤2605,150448,1209.500,1211.000,1148.000,1148.500,1148.000,1148.500,1148.500,1175.500,1218.000,2026-03-31 17:44:48,3
BR2605,丁二烯橡胶2605,150000,17695.000,17945.000,17080.000,17350.000,17350.000,17360.000,17350.000,17545.000,17800.000,2026-03-31 17:44:48,3
EG2605,乙二醇2605,150448,5326.000,5521.000,5138.000,5218.000,5216.000,5218.000,5218.000,5337.000,5413.000,2026-03-31 17:44:48,3
V2605,PVC2605,150449,5540.000,5540.000,5313.000,5353.000,5351.000,5353.000,5353.000,5433.000,5658.000,2026-03-31 17:44:48,3
BU2606,沥青2606,150000,4499.000,4630.000,4440.000,4512.000,4511.000,4512.000,4512.000,4536.000,4582.000,2026-03-31 17:44:48,3
AL2605,铝2605,150000,24585.000,24905.000,24580.000,24875.000,24860.000,24865.000,24875.000,24765.000,24525.000,2026-03-31 17:44:48,3
EB2605,苯乙烯2605,150448,10652.000,10920.000,10412.000,10597.000,10596.000,10600.000,10597.000,10641.000,10832.000,2026-03-31 17:44:48,3
PP2605,聚丙烯2605,150449,9269.000,9393.000,9019.000,9103.000,9101.000,9104.000,9103.000,9184.000,9494.000,2026-03-31 17:44:48,3
NI2605,镍2605,150000,137080.000,137120.000,134030.000,134780.000,134760.000,134790.000,134780.000,135630.000,135910.000,2026-03-31 17:44:48,3
L2605,塑料2605,150448,8804.000,8916.000,8511.000,8614.000,8614.000,8615.000,8614.000,8693.000,9018.000,2026-03-31 17:44:48,3
P2609,棕榈油2609,150449,9910.000,10062.000,9806.000,9888.000,9882.000,9888.000,9888.000,9922.000,9778.000,2026-03-31 17:44:48,3
FU2605,燃料油2605,150000,4577.000,4637.000,4380.000,4446.000,4447.000,4448.000,4446.000,4504.000,4621.000,2026-03-31 17:44:48,3
Y2605,豆油2605,150449,8712.000,8782.000,8644.000,8668.000,8668.000,8670.000,8668.000,8704.000,8678.000,2026-03-31 17:44:48,3
AO2605,氧化铝2605,150000,2931.000,2941.000,2825.000,2827.000,2827.000,2828.000,2827.000,2874.000,2929.000,2026-03-31 17:44:48,3
M2605,豆粕2605,150449,2934.000,2941.000,2904.000,2915.000,2915.000,2916.000,2915.000,2919.000,2937.000,2026-03-31 17:44:48,3
PG2605,液化石油气2605,150449,6600.000,6640.000,6135.000,6339.000,6337.000,6348.000,6339.000,6396.000,6715.000,2026-03-31 17:44:48,3
RB2605,螺纹钢2605,150000,3145.000,3145.000,3116.000,3121.000,3121.000,3122.000,3121.000,3130.000,3136.000,2026-03-31 17:44:48,3
RU2609,天然橡胶2609,150000,16600.000,16635.000,16340.000,16400.000,16395.000,16405.000,16400.000,16485.000,16515.000,2026-03-31 17:44:48,3
I2605,铁矿石2605,150448,814.000,817.000,806.500,808.000,808.000,808.500,808.000,811.000,814.500,2026-03-31 17:44:48,3
ZN2605,沪锌2605,150000,23625.000,23660.000,23460.000,23480.000,23480.000,23485.000,23480.000,23565.000,23420.000,2026-03-31 17:44:48,3
C2605,玉米2605,150448,2346.000,2355.000,2344.000,2351.000,2351.000,2352.000,2351.000,2349.000,2357.000,2026-03-31 17:44:48,3
SP2605,纸浆2605,150000,5180.000,5180.000,5120.000,5124.000,5122.000,5124.000,5124.000,5148.000,5196.000,2026-03-31 17:44:48,3
A2605,豆一2605,150448,4576.000,4649.000,4575.000,4641.000,4641.000,4642.000,4641.000,4612.000,4567.000,2026-03-31 17:44:48,3
SS2605,不锈钢2605,150000,14375.000,14375.000,14110.000,14160.000,14165.000,14170.000,14160.000,14225.000,14345.000,2026-03-31 17:44:48,3
HC2610,热轧卷板2610,150000,3323.000,3328.000,3305.000,3310.000,3309.000,3310.000,3310.000,3317.000,3319.000,2026-03-31 17:44:48,3
SI2605,工业硅2605,150119,8480.000,8485.000,8335.000,8355.000,8350.000,8355.000,8355.000,8390.000,8500.000,2026-03-31 17:44:48,3
LU2605,低硫燃料油2605,150000,5241.000,5311.000,4984.000,5159.000,5159.000,5160.000,5159.000,5146.000,5380.000,2026-03-31 17:44:48,3
NR2606,20号胶2606,150000,13850.000,13945.000,13670.000,13670.000,13670.000,13675.000,13670.000,13820.000,13835.000,2026-03-31 17:44:48,3
B2605,豆二2605,150325,3741.000,3752.000,3704.000,3718.000,3717.000,3719.000,3718.000,3729.000,3736.000,2026-03-31 17:44:48,3
PB2605,铅2605,150000,16510.000,16530.000,16475.000,16500.000,16495.000,16500.000,16500.000,16500.000,16470.000,2026-03-31 17:44:48,3
CS2605,淀粉2605,150325,2742.000,2752.000,2732.000,2745.000,2745.000,2746.000,2745.000,2741.000,2744.000,2026-03-31 17:44:48,3
JD2606,鸡蛋2606,150448,3225.000,3251.000,3212.000,3224.000,3223.000,3224.000,3224.000,3231.000,3210.000,2026-03-31 17:44:48,3
T2606,108.385,108.435,108.355,108.400,81297,8812344.760,297454.000,108.400,0.000,110.520,106.190,2026-03-31 17:44:51,4
TL2606,111.520,111.700,111.430,111.690,76432,8527494.010,131916.000,111.690,0.000,115.420,107.620,2026-03-31 17:44:51,4
TS2606,102.544,102.546,102.516,102.538,36912,3784742.090,76741.000,102.538,0.000,103.050,102.026,2026-03-31 17:44:51,4
TF2606,106.080,106.130,106.065,106.105,60022,6368074.075,178428.000,106.105,0.000,107.340,104.800,2026-03-31 17:44:51,4
JM2605,焦煤2605,150448,1209.500,1211.000,1148.000,1148.500,1148.000,1148.500,1148.500,1175.500,1218.000,2026-03-31 17:44:51,4
BR2605,丁二烯橡胶2605,150000,17695.000,17945.000,17080.000,17350.000,17350.000,17360.000,17350.000,17545.000,17800.000,2026-03-31 17:44:51,4
EG2605,乙二醇2605,150448,5326.000,5521.000,5138.000,5218.000,5216.000,5218.000,5218.000,5337.000,5413.000,2026-03-31 17:44:51,4
V2605,PVC2605,150449,5540.000,5540.000,5313.000,5353.000,5351.000,5353.000,5353.000,5433.000,5658.000,2026-03-31 17:44:51,4
BU2606,沥青2606,150000,4499.000,4630.000,4440.000,4512.000,4511.000,4512.000,4512.000,4536.000,4582.000,2026-03-31 17:44:51,4
AL2605,铝2605,150000,24585.000,24905.000,24580.000,24875.000,24860.000,24865.000,24875.000,24765.000,24525.000,2026-03-31 17:44:51,4
EB2605,苯乙烯2605,150448,10652.000,10920.000,10412.000,10597.000,10596.000,10600.000,10597.000,10641.000,10832.000,2026-03-31 17:44:51,4
PP2605,聚丙烯2605,150449,9269.000,9393.000,9019.000,9103.000,9101.000,9104.000,9103.000,9184.000,9494.000,2026-03-31 17:44:51,4
NI2605,镍2605,150000,137080.000,137120.000,134030.000,134780.000,134760.000,134790.000,134780.000,135630.000,135910.000,2026-03-31 17:44:51,4
L2605,塑料2605,150448,8804.000,8916.000,8511.000,8614.000,8614.000,8615.000,8614.000,8693.000,9018.000,2026-03-31 17:44:51,4
P2609,棕榈油2609,150449,9910.000,10062.000,9806.000,9888.000,9882.000,9888.000,9888.000,9922.000,9778.000,2026-03-31 17:44:51,4
FU2605,燃料油2605,150000,4577.000,4637.000,4380.000,4446.000,4447.000,4448.000,4446.000,4504.000,4621.000,2026-03-31 17:44:51,4
Y2605,豆油2605,150449,8712.000,8782.000,8644.000,8668.000,8668.000,8670.000,8668.000,8704.000,8678.000,2026-03-31 17:44:51,4
AO2605,氧化铝2605,150000,2931.000,2941.000,2825.000,2827.000,2827.000,2828.000,2827.000,2874.000,2929.000,2026-03-31 17:44:51,4
M2605,豆粕2605,150449,2934.000,2941.000,2904.000,2915.000,2915.000,2916.000,2915.000,2919.000,2937.000,2026-03-31 17:44:51,4
PG2605,液化石油气2605,150449,6600.000,6640.000,6135.000,6339.000,6337.000,6348.000,6339.000,6396.000,6715.000,2026-03-31 17:44:51,4
RB2605,螺纹钢2605,150000,3145.000,3145.000,3116.000,3121.000,3121.000,3122.000,3121.000,3130.000,3136.000,2026-03-31 17:44:51,4
RU2609,天然橡胶2609,150000,16600.000,16635.000,16340.000,16400.000,16395.000,16405.000,16400.000,16485.000,16515.000,2026-03-31 17:44:51,4
I2605,铁矿石2605,150448,814.000,817.000,806.500,808.000,808.000,808.500,808.000,811.000,814.500,2026-03-31 17:44:51,4
ZN2605,沪锌2605,150000,23625.000,23660.000,23460.000,23480.000,23480.000,23485.000,23480.000,23565.000,23420.000,2026-03-31 17:44:51,4
C2605,玉米2605,150448,2346.000,2355.000,2344.000,2351.000,2351.000,2352.000,2351.000,2349.000,2357.000,2026-03-31 17:44:51,4
SP2605,纸浆2605,150000,5180.000,5180.000,5120.000,5124.000,5122.000,5124.000,5124.000,5148.000,5196.000,2026-03-31 17:44:51,4
A2605,豆一2605,150448,4576.000,4649.000,4575.000,4641.000,4641.000,4642.000,4641.000,4612.000,4567.000,2026-03-31 17:44:51,4
